ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF
43	AAFEX-I	120	2	JP-8	1148	18.6	1.6	13.6	1.4	4.31E+16	2.25E+15	4.09E+16	20.17	216.60	18.87	197.7	NA	NA	NA	NA	17.9985	23.9161	11.6782	21.2211	1	0	NA	NA	NA	0.125
44	AAFEX-I	150	3	FT1	19	0	0	15.5	1.6	7.52E+15	2.49E+13	7.50E+15	3.58	35.88	2.72	33.2	0.957	0.043	38.06938279	1.724309212	13.9192	21.7872	11.7753	21.6866	0	1	25.4	64	678	0.138
45	AAFEX-I	150	3	FT1	19	0	0	15.5	4.5	6.68E+15	2.37E+13	6.65E+15	4.33	5.03	0.14	4.9	0.899	0.101	5.270497723	0.593409077	10.6024	12.2232	16.1512	32.4073	0	1	25.3	64	695	0.137
46	AAFEX-I	110	3	BlendFT1	699	8	0.8	14.5	0.2	3.53E+16	6.61E+14	3.46E+16	6.05	75.12	1.30	73.8	NA	NA	NA	NA	13.6724	16.9458	11.3505	20.8771	0	1	25.5	62	703	0.153
47	AAFEX-I	120	2	JP-8	1148	18.6	1.6	13.6	0.5	4.03E+16	1.99E+15	3.83E+16	23.17	165.81	12.53	153.3	NA	NA	NA	NA	16.5076	22.5146	12.0184	22.4996	1	0	NA	NA	NA	0.139
48	AAFEX-I	220	2	JP-8	1148	18.6	1.6	13.6	6.8	6.16E+15	2.13E+15	4.03E+15	27.71	185.57	15.27	170.3	NA	NA	NA	NA	17.377	23.2136	11.8612	21.1962	1	0	NA	NA	NA	0.124
49	AAFEX-I	130	3	BlendFT1	699	8	0.8	14.5	7.0	3.42E+16	8.13E+14	3.34E+16	10.28	73.55	1.46	72.1	NA	NA	NA	NA	13.5517	16.8543	11.3327	19.5378	0	1	25.2	62	689	0.137
50	AAFEX-I	100	3	BlendFT1	699	8	0.8	14.5	9.1	3.59E+16	8.16E+14	3.51E+16	5.66	57.08	0.83	56.2	NA	NA	NA	NA	12.4822	15.1544	11.9259	22.9686	0	1	25.2	62	708	0.150
51	AAFEX-I	140	3	FT2	22	0.6	0	15.1	14.4	5.84E+15	3.99E+13	5.80E+15	2.41	11.11	0.77	10.3	NA	NA	NA	NA	13.0914	20.3962	12.7358	29.1372	0	1	25.2	64	729	0.149
52	AAFEX-I	140	2	JP-8	1148	18.6	1.6	13.6	14.5	2.89E+16	1.55E+15	2.74E+16	16.53	81.28	13.47	67.8	NA	NA	NA	NA	15.2856	22.4083	12.572	27.8276	1	0	NA	NA	NA	0.136
53	AAFEX-I	130	2	JP-8	1148	18.6	1.6	13.6	17.8	1.75E+16	9.32E+14	1.66E+16	10.72	33.88	3.14	30.7	NA	NA	NA	NA	13.0238	19.0499	12.1327	28.7668	1	0	NA	NA	NA	0.109
54	AAFEX-I	180	3	FT2	22	0.6	0	15.1	17.7	7.01E+15	2.13E+14	6.80E+15	12.78	8.57	2.19	6.4	0.365	0.635	2.796697698	4.865554302	11.9582	17.4538	10.7745	15.8232	0	1	24.9	64	715	0.136
55	AAFEX-I	132	3	FT2	22	0.6	0	15.1	18.1	2.16E+15	9.78E+14	1.18E+15	NA	NA	NA	NA	NA	NA	NA	NA	12.625	17.9236	13.0926	27.2013	0	1	24.8	64	727	0.149
56	AAFEX-I	150	3	FT2	22	0.6	0	15.1	-1.3	5.39E+15	6.11E+13	5.33E+15	3.55	45.58	2.90	42.7	0.983	0.017	50.34285425	0.868393747	14.7575	24.7967	12.5346	33.9164	0	1	25.2	62	709	0.148
57	AAFEX-I	130	2	JP-8	1148	18.6	1.6	13.6	-1.4	3.30E+16	2.18E+15	3.08E+16	24.58	217.25	20.85	196.4	0.987	0.013	232.6492666	3.022693364	17.6054	25.3101	12.3593	31.8425	1	0	NA	NA	NA	0.127
58	AAFEX-I	120	2	JP-8	1148	18.6	1.6	13.6	-1.5	3.38E+16	1.96E+15	3.18E+16	16.25	211.61	16.22	195.4	0.988	0.012	231.5936145	2.867305514	17.5003	24.1154	11.8461	27.7598	1	0	NA	NA	NA	0.125
59	AAFEX-I	170	3	FT2	22	0.6	0	15.1	-1.1	8.94E+15	7.16E+13	8.87E+15	3.34	39.74	3.00	36.7	NA	NA	NA	NA	13.0604	22.1293	11.9762	31.9476	0	1	25.2	64	681	0.139
60	AAFEX-I	190	2	JP-8	1148	18.6	1.6	13.6	9.0	3.53E+16	1.77E+15	3.35E+16	18.75	151.61	17.53	134.1	0.999	0.001	160.7424797	0.150880318	16.488	24.2578	12.0358	30.8713	1	0	NA	NA	NA	0.467
61	AAFEX-I	170	3	BlendFT2	658	9.1	0.8	14.3	9.1	3.02E+16	7.35E+14	2.94E+16	5.03	74.62	3.46	71.2	0.989	0.011	84.48645744	0.903430563	13.4274	18.3502	11.7634	35.6198	0	1	63.3	86	812	0.467
62	AAFEX-I	160	2	JP-8	1148	18.6	1.6	13.6	11.3	3.41E+16	1.83E+15	3.23E+16	17.88	162.01	15.37	146.6	NA	NA	NA	NA	16.5528	23.402	11.8961	29.3544	1	0	NA	NA	NA	0.657
63	AAFEX-I	280	3	BlendFT2	658	9.1	0.8	14.3	11.6	3.05E+16	7.26E+14	2.98E+16	5.40	63.19	2.20	61.0	NA	NA	NA	NA	13.0108	16.7906	11.3152	32.3355	0	1	74.1	90	878	0.657
